,code,2020pointsR1,2020pointsR2,2020EOS
0,AC120,209.0,,209.0
1,AC137,252.0,,252.0
2,AD101,,,
3,AD102,,,
4,AD103,,,
5,AD202,,,
6,AD204,,,
7,AD211,,,
8,AD212,,,
9,AD215,377.0,320,320.0
10,AD217,,,
11,AD222,,,
12,AL600,,,104.0
13,AL601,,219,112.0
14,AL602,,,260.0
15,AL604,,AQA,
16,AL605,,AQA,154.0
17,AL630,295.0,,295.0
18,AL631,300.0,298,298.0
19,AL632,234.0,,234.0
20,AL650,207.0,,207.0
21,AL660,,AQA,112.0
22,AL661,,AQA,101.0
23,AL663,,AQA,120.0
24,AL701,216.0,,216.0
25,AL702,214.0,,214.0
26,AL703,216.0,,224.0
27,AL704,204.0,,204.0
28,AL705,216.0,,216.0
29,AL710,223.0,,223.0
30,AL711,228.0,,228.0
31,AL712,252.0,,252.0
32,AL713,218.0,,218.0
33,AL718,214.0,,216.0
34,AL721,233.0,,233.0
35,AL730,250.0,,250.0
36,AL731,400.0,,400.0
37,AL734,244.0,,244.0
38,AL740,250.0,,250.0
39,AL751,241.0,,241.0
40,AL752,225.0,,225.0
41,AL761,208.0,,208.0
42,AL763,781.0,,781.0
43,AL764,260.0,,260.0
44,AL765,280.0,,280.0
45,AL801,303.0,,303.0
46,AL802,332.0,,332.0
47,AL803,337.0,,337.0
48,AL805,333.0,,333.0
49,AL810,319.0,,326.0
50,AL811,320.0,,320.0
51,AL820,308.0,,308.0
52,AL830,442.0,,442.0
53,AL832,387.0,384,384.0
54,AL836,334.0,,334.0
55,AL837,351.0,,351.0
56,AL838,307.0,,307.0
57,AL839,325.0,,325.0
58,AL840,347.0,,347.0
59,AL841,430.0,,430.0
60,AL842,313.0,,313.0
61,AL843,306.0,,306.0
62,AL850,309.0,,309.0
63,AL851,295.0,,295.0
64,AL852,309.0,,309.0
65,AL854,302.0,299,299.0
66,AL855,308.0,,308.0
67,AL857,304.0,,304.0
68,AL860,300.0,,300.0
69,AL861,578.0,,578.0
70,AL863,781.0,,781.0
71,AL864,307.0,,307.0
72,AL870,418.0,,418.0
73,AS001,510.0,,518.0
74,AS002,441.0,434,434.0
75,AS003,440.0,440,440.0
76,AS051,328.0,317,317.0
77,AS054,408.0,398,398.0
78,AS110,419.0,,419.0
79,AS130,336.0,328,317.0
80,CI001,300.0,,300.0
81,CI002,309.0,,309.0
82,CI005,306.0,302,302.0
83,CI110,310.0,,310.0
84,CI111,301.0,,301.0
85,CI112,311.0,,311.0
86,CK101,300.0,,300.0
87,CK102,412.0,,412.0
88,CK104,302.0,,302.0
89,CK105,368.0,337,319.0
90,CK107,328.0,,328.0
91,CK108,401.0,,401.0
92,CK109,318.0,,318.0
93,CK110,452.0,433,410.0
94,CK111,419.0,,419.0
95,CK112,330.0,,330.0
96,CK113,423.0,,423.0
97,CK114,,,777.0
98,CK115,,,999.0
99,CK118,336.0,,336.0
100,CK120,533.0,532,531.0
101,CK121,466.0,,466.0
102,CK122,337.0,328,326.0
103,CK123,308.0,,308.0
104,CK124,463.0,462,452.0
105,CK125,510.0,509,509.0
106,CK201,477.0,,477.0
107,CK202,509.0,,509.0
108,CK203,430.0,,430.0
109,CK204,556.0,,556.0
110,CK205,445.0,,445.0
111,CK206,420.0,418,418.0
112,CK207,388.0,,388.0
113,CK208,402.0,,402.0
114,CK209,484.0,,484.0
115,CK211,397.0,,397.0
116,CK212,444.0,,444.0
117,CK213,462.0,,462.0
118,CK214,346.0,,346.0
119,CK301,507.0,499,498.0
120,CK302,542.0,,542.0
121,CK304,540.0,,540.0
122,CK307,556.0,,556.0
123,CK401,468.0,,468.0
124,CK402,510.0,509,509.0
125,CK404,467.0,,465.0
126,CK405,487.0,,487.0
127,CK406,485.0,472,462.0
128,CK407,566.0,565,565.0
129,CK408,554.0,542,531.0
130,CK409,432.0,,432.0
131,CK411,510.0,,509.0
132,CK412,496.0,496,489.0
133,CK504,518.0,,517.0
134,CK505,441.0,440,420.0
135,CK600,487.0,,487.0
136,CK606,484.0,476,469.0
137,CK701,731.0,,731.0
138,CK702,613.0,613,613.0
139,CK703,590.0,589,589.0
140,CK704,566.0,555,555.0
141,CK705,520.0,,520.0
142,CK706,454.0,,454.0
143,CK707,542.0,541,541.0
144,CK710,454.0,,454.0
145,CK712,533.0,,533.0
146,CK720,423.0,,419.0
147,CK730,419.0,411,400.0
148,CK740,484.0,,473.0
149,CK791,57.0,,57.0
150,CM001,484.0,,484.0
151,CM002,,,
152,CM003,528.0,,528.0
153,CM004,494.0,,494.0
154,CM010,319.0,,317.0
155,CM020,327.0,,327.0
156,CR001,250.0,,250.0
157,CR006,361.0,,361.0
158,CR007,240.0,,240.0
159,CR010,321.0,,321.0
160,CR016,307.0,,307.0
161,CR021,255.0,,255.0
162,CR022,190.0,,190.0
163,CR031,346.0,,346.0
164,CR032,298.0,,298.0
165,CR035,100.0,,100.0
166,CR041,216.0,,216.0
167,CR042,208.0,,208.0
168,CR046,216.0,,216.0
169,CR051,248.0,,248.0
170,CR052,251.0,,251.0
171,CR053,308.0,,308.0
172,CR055,258.0,,258.0
173,CR061,260.0,,260.0
174,CR062,300.0,,300.0
175,CR071,261.0,,261.0
176,CR075,306.0,,306.0
177,CR090,266.0,,266.0
178,CR094,243.0,,243.0
179,CR095,255.0,,255.0
180,CR105,443.0,,443.0
181,CR106,411.0,,411.0
182,CR108,434.0,,434.0
183,CR109,394.0,,394.0
184,CR110,311.0,,311.0
185,CR112,361.0,,361.0
186,CR116,332.0,,332.0
187,CR121,868.0,,912.0
188,CR125,1088.0,,1088.0
189,CR126,801.0,,801.0
190,CR127,838.0,768,768.0
191,CR128,840.0,,840.0
192,CR129,841.0,,841.0
193,CR130,548.0,518,505.0
194,CR150,335.0,,335.0
195,CR210,,,
196,CR220,,,
197,CR225,,,
198,CR300,282.0,,282.0
199,CR305,282.0,,282.0
200,CR310,297.0,,297.0
201,CR320,565.0,,565.0
202,CR325,398.0,,398.0
203,CR333,402.0,,402.0
204,CR335,420.0,,420.0
205,CR340,251.0,,251.0
206,CR360,261.0,,261.0
207,CR365,253.0,,253.0
208,CR370,397.0,,397.0
209,CR400,316.0,,316.0
210,CR420,285.0,,285.0
211,CR425,298.0,,298.0
212,CR430,322.0,,322.0
213,CR440,288.0,,288.0
214,CR500,411.0,,411.0
215,CR510,320.0,,320.0
216,CR520,444.0,,444.0
217,CR560,308.0,,308.0
218,CR565,359.0,,359.0
219,CR570,336.0,,336.0
220,CR572,269.0,,269.0
221,CR580,318.0,,318.0
222,CR590,303.0,,303.0
223,CR600,,,
224,CR620,365.0,357,357.0
225,CR640,244.0,,244.0
226,CR650,209.0,,209.0
227,CR655,189.0,,189.0
228,CR657,180.0,163,163.0
229,CR660,252.0,,252.0
230,CR700,740.0,645,645.0
231,CR805,235.0,,235.0
232,CR888,290.0,,290.0
233,CT110,210.0,,210.0
234,CT116,219.0,,219.0
235,CT125,220.0,,220.0
236,CT325,338.0,,281.0
237,CW006,,AQA,
238,CW018,298.0,248,248.0
239,CW027,266.0,,268.0
240,CW028,252.0,,252.0
241,CW037,195.0,,195.0
242,CW038,700.0,,700.0
243,CW047,214.0,181,181.0
244,CW057,700.0,,700.0
245,CW058,298.0,,298.0
246,CW068,245.0,,245.0
247,CW077,217.0,,217.0
248,CW078,269.0,,269.0
249,CW088,274.0,,274.0
250,CW106,451.0,,451.0
251,CW107,277.0,,277.0
252,CW108,261.0,,261.0
253,CW116,250.0,,250.0
254,CW117,205.0,,205.0
255,CW126,191.0,,191.0
256,CW128,263.0,,263.0
257,CW138,423.0,,423.0
258,CW148,379.0,,379.0
259,CW188,451.0,448,448.0
260,CW206,235.0,,235.0
261,CW207,244.0,,244.0
262,CW208,279.0,,279.0
263,CW217,234.0,,234.0
264,CW227,233.0,,242.0
265,CW237,212.0,,212.0
266,CW238,297.0,,297.0
267,CW248,285.0,,285.0
268,CW258,293.0,,293.0
269,CW268,287.0,,287.0
270,CW407,188.0,,188.0
271,CW417,220.0,,220.0
272,CW427,199.0,,199.0
273,CW438,272.0,,272.0
274,CW468,262.0,,262.0
275,CW478,433.0,,433.0
276,CW507,293.0,,294.0
277,CW517,276.0,,276.0
278,CW527,227.0,,227.0
279,CW547,301.0,,301.0
280,CW548,321.0,,321.0
281,CW558,280.0,,280.0
282,CW568,380.0,,380.0
283,CW578,325.0,,325.0
284,CW706,163.0,,163.0
285,CW707,207.0,,207.0
286,CW708,302.0,,302.0
287,CW717,288.0,,288.0
288,CW728,252.0,,252.0
289,CW748,270.0,,270.0
290,CW758,336.0,,336.0
291,CW807,700.0,,700.0
292,CW808,251.0,,251.0
293,CW817,700.0,,700.0
294,CW827,700.0,,700.0
295,CW837,200.0,,200.0
296,CW848,254.0,,269.0
297,CW858,700.0,,700.0
298,CW906,177.0,,177.0
299,CW908,280.0,,280.0
300,CW917,224.0,,224.0
301,CW926,210.0,,210.0
302,CW936,231.0,,231.0
303,CW938,283.0,,283.0
304,CW948,300.0,,300.0
305,DB500,218.0,218,218.0
306,DB501,227.0,227,227.0
307,DB502,341.0,341,334.0
308,DB503,225.0,225,225.0
309,DB504,,281,281.0
310,DB510,234.0,223,223.0
311,DB512,218.0,203,203.0
312,DB514,252.0,,251.0
313,DB515,244.0,244,244.0
314,DB516,,,
315,DB517,238.0,,238.0
316,DB521,225.0,195,195.0
317,DB524,342.0,309,309.0
318,DB526,347.0,,347.0
319,DB527,234.0,260,234.0
320,DB528,,AQA,
321,DB531,293.0,,293.0
322,DB534,,AQA,
323,DB562,243.0,229,229.0
324,DB563,161.0,189,161.0
325,DB566,220.0,227,220.0
326,DB567,218.0,202,202.0
327,DB568,219.0,252,217.0
328,DB569,252.0,,252.0
329,DB571,173.0,211,122.0
330,DB572,119.0,117,117.0
331,DB573,117.0,146,117.0
332,DB574,136.0,388,136.0
333,DB576,,AQA,
334,DC001,440.0,,440.0
335,DC002,488.0,,488.0
336,DC003,445.0,,445.0
337,DC004,411.0,409,409.0
338,DC009,376.0,,376.0
339,DC010,441.0,429,429.0
340,DC011,412.0,391,391.0
341,DC012,378.0,,378.0
342,DC013,419.0,,419.0
343,DC014,419.0,,419.0
344,DC110,465.0,,465.0
345,DC111,488.0,,488.0
346,DC112,517.0,510,510.0
347,DC113,462.0,,462.0
348,DC114,522.0,,522.0
349,DC115,510.0,,510.0
350,DC116,579.0,,579.0
351,DC117,476.0,475,475.0
352,DC118,359.0,,359.0
353,DC119,564.0,,564.0
354,DC120,357.0,,357.0
355,DC121,400.0,,400.0
356,DC123,465.0,,465.0
357,DC126,560.0,,560.0
358,DC127,532.0,520,520.0
359,DC131,407.0,402,402.0
360,DC132,429.0,422,422.0
361,DC133,411.0,410,410.0
362,DC155,387.0,,387.0
363,DC161,498.0,489,489.0
364,DC162,521.0,,521.0
365,DC166,433.0,399,399.0
366,DC168,512.0,510,510.0
367,DC175,419.0,402,402.0
368,DC181,499.0,495,495.0
369,DC190,413.0,,413.0
370,DC193,411.0,,411.0
371,DC195,425.0,,425.0
372,DC197,423.0,,423.0
373,DC200,422.0,,422.0
374,DC201,498.0,488,488.0
375,DC202,500.0,498,498.0
376,DC203,435.0,,435.0
377,DC204,522.0,519,519.0
378,DC205,531.0,,531.0
379,DC206,499.0,,499.0
380,DC208,532.0,521,521.0
381,DC209,465.0,440,440.0
382,DC215,454.0,433,433.0
383,DC216,418.0,403,403.0
384,DC217,370.0,,370.0
385,DC218,500.0,498,498.0
386,DC230,435.0,,435.0
387,DC231,397.0,,397.0
388,DC232,466.0,,466.0
389,DC235,309.0,,309.0
390,DC238,377.0,,377.0
391,DC239,430.0,,430.0
392,DC240,476.0,474,474.0
393,DC291,376.0,,376.0
394,DC292,403.0,,403.0
395,DC293,377.0,,377.0
396,DC295,376.0,,376.0
397,DK710,120.0,120,120.0
398,DK711,191.0,,191.0
399,DK712,100.0,100,100.0
400,DK721,106.0,106,106.0
401,DK722,144.0,144,144.0
402,DK730,165.0,,165.0
403,DK731,332.0,,332.0
404,DK732,120.0,,120.0
405,DK740,179.0,179,179.0
406,DK742,166.0,166,166.0
407,DK744,190.0,157,157.0
408,DK750,176.0,176,176.0
409,DK752,175.0,175,175.0
410,DK753,182.0,182,182.0
411,DK763,233.0,,225.0
412,DK767,240.0,240,240.0
413,DK768,261.0,,261.0
414,DK769,165.0,165,165.0
415,DK770,190.0,190,190.0
416,DK771,,,
417,DK781,358.0,328,208.0
418,DK783,349.0,317,210.0
419,DK784,399.0,,399.0
420,DK810,305.0,305,305.0
421,DK816,300.0,300,300.0
422,DK820,311.0,311,311.0
423,DK821,302.0,302,302.0
424,DK822,307.0,,304.0
425,DK830,336.0,,336.0
426,DK831,389.0,,389.0
